Depthm,T_degC,Salnty,O2ml_L,ChlorA,Phaeop,PO4uM,SiO3uM,NO2uM,NO3uM,NH3uM
0,12.14,33.537,5.46,1.0,0.39,0.88,9.6,0.26,8.4,0.12
2,12.14,33.537,5.46,1.0,0.39,0.88,9.6,0.26,8.4,0.12
6,12.14,33.538,5.45,1.06,0.33,0.87,9.5,0.26,8.4,0.11
10,12.15,33.537,5.46,1.0,0.4,0.87,9.5,0.26,8.4,0.13
20,12.15,33.538,5.46,0.96,0.29,0.88,9.5,0.26,8.3,0.16
29,12.13,33.539,5.43,1.1,0.38,0.88,9.6,0.25,8.5,0.14
30,12.14,33.533,5.43,1.1,0.38,0.88,9.6,0.25,8.5,0.15
40,12.13,33.539,5.44,1.02,0.31,0.9,9.6,0.25,8.5,0.2
50,12.11,33.541,5.42,1.01,0.32,0.89,9.8,0.25,8.6,0.17
60,12.1,33.541,5.42,1.0,0.36,0.92,9.8,0.25,8.7,0.25
70,12.05,33.545,5.35,0.94,0.39,0.96,10.2,0.25,9.0,0.27
0,11.65,33.108,6.14,0.92,0.29,0.68,5.7,0.12,5.0,0.37
2,11.65,33.108,6.14,0.92,0.29,0.68,5.7,0.12,5.0,0.37
10,11.65,33.136,6.13,0.97,0.26,0.6,4.5,0.12,4.2,0.52
20,11.65,33.166,6.1,1.01,0.26,0.71,5.9,0.13,5.4,0.44
30,11.88,33.52,5.76,0.88,0.41,0.94,9.2,0.2,9.3,0.58
40,11.85,33.604,5.39,0.37,0.46,1.01,10.6,0.22,10.9,0.62
50,10.58,33.747,3.32,0.14,0.17,1.66,19.5,0.03,21.3,0.51
60,10.37,33.78,3.07,0.09,0.13,1.75,20.2,0.03,21.7,0.59
70,10.26,33.803,2.99,0.07,0.14,1.79,21.3,0.01,22.7,0.33
75,10.09,33.828,2.92,0.05,0.13,1.83,22.2,0.0,23.4,0.18
84,9.97,33.855,2.78,0.03,0.11,1.91,23.9,0.0,24.5,0.0
99,9.77,33.899,2.61,0.02,0.11,1.99,25.7,0.0,25.6,0.23
100,9.74,33.9,2.6,0.02,0.11,2.0,25.8,0.0,25.7,0.23
122,9.41,33.978,2.3,0.0,0.09,2.13,29.1,0.0,27.4,0.24
125,9.36,33.99,2.27,0.0,0.09,2.14,29.5,0.0,27.6,0.22
139,9.23,34.029,2.14,0.01,0.09,2.2,31.2,0.0,28.2,0.09
150,9.11,34.048,2.09,0.01,0.09,2.22,32.0,0.0,28.5,0.04
169,9.05,34.074,2.01,0.01,0.08,2.24,33.2,0.01,29.0,0.01
199,8.82,34.11,1.75,0.01,0.08,2.37,36.6,0.0,30.2,0.0
0,11.87,33.426,6.18,1.33,0.43,0.72,8.3,0.2,6.3,0.65
2,11.87,33.426,6.18,1.33,0.43,0.72,8.3,0.2,6.3,0.65
10,11.96,33.516,6.15,1.3,0.45,0.77,9.0,0.22,7.1,0.71
20,12.0,33.613,6.02,1.12,0.52,0.85,9.7,0.26,8.4,0.8
24,11.99,33.613,5.99,1.03,0.46,0.86,10.5,0.29,8.6,0.98
30,11.94,33.619,5.95,0.94,0.5,0.88,10.4,0.28,9.0,0.97
40,11.66,33.655,5.43,0.49,0.45,1.08,13.0,0.35,12.0,1.0
50,10.55,33.77,3.48,0.17,0.28,1.65,21.2,0.12,21.2,0.92
59,10.26,33.812,3.18,0.1,0.22,1.75,23.1,0.1,22.8,0.89
70,9.98,33.853,2.93,0.05,0.18,1.85,25.4,0.11,24.2,0.9
75,9.83,33.882,2.79,0.05,0.15,1.91,26.3,0.1,24.9,0.9
85,9.64,33.927,2.52,0.06,0.12,2.01,28.1,0.08,26.1,0.89
100,9.39,33.981,2.32,0.02,0.19,2.08,31.6,0.13,27.2,1.0
119,9.31,34.002,2.19,0.01,0.12,2.15,32.0,0.1,27.8,0.78
125,9.25,34.015,2.15,0.01,0.11,2.14,32.5,0.11,27.8,0.71
140,9.11,34.042,2.05,0.0,0.1,2.12,34.0,0.13,28.0,0.51
150,9.06,34.05,2.0,0.0,0.09,2.18,34.9,0.12,28.6,0.32
170,8.79,34.091,1.86,0.0,0.09,2.32,37.2,0.08,30.1,0.0
200,8.56,34.156,1.45,0.0,0.09,2.44,42.8,0.0,31.7,0.0
0,12.96,32.852,6.11,0.64,0.16,0.39,2.7,0.02,0.4,0.0
2,12.96,32.852,6.11,0.64,0.16,0.39,2.7,0.02,0.4,0.0
10,12.93,32.849,6.11,0.67,0.15,0.38,2.7,0.02,0.4,0.0
20,12.29,32.81,6.25,0.87,0.25,0.46,3.6,0.05,1.2,0.01
30,12.03,32.789,6.29,0.9,0.25,0.49,3.9,0.06,1.6,0.01
40,11.83,32.777,6.29,0.94,0.29,0.52,4.2,0.07,2.2,0.03
50,11.69,32.795,6.24,0.87,0.34,0.57,4.8,0.1,3.1,0.04
60,11.31,32.917,5.77,0.07,0.08,0.7,4.6,0.06,4.7,0.03
70,11.25,33.108,6.1,0.37,0.26,0.81,8.3,0.26,6.9,0.32
75,11.16,33.123,5.98,0.31,0.22,0.84,8.2,0.22,7.5,0.25
85,10.22,33.085,5.48,0.08,0.08,0.95,8.1,0.07,9.5,0.02
100,9.67,33.341,4.56,0.04,0.08,1.46,16.7,0.0,18.1,0.01
120,9.07,33.593,4.18,0.01,0.04,1.63,21.3,0.0,21.3,0.0
125,9.01,33.634,4.06,0.01,0.04,1.67,22.4,0.0,22.1,0.0
139,8.81,33.753,3.71,0.0,0.03,1.78,25.1,0.0,24.0,0.0
150,8.66,33.819,3.51,0.0,0.03,1.84,26.9,0.0,25.1,0.0
169,8.45,33.926,3.15,0.01,0.03,1.94,30.1,0.0,26.8,0.0
199,8.43,34.045,2.23,0.0,0.04,2.25,36.5,0.0,30.1,0.0
0,14.21,33.08,5.9,0.34,0.13,0.34,2.4,0.0,0.0,0.0
2,14.21,33.08,5.9,0.34,0.13,0.34,2.4,0.0,0.0,0.0
8,14.2,33.075,5.9,0.34,0.11,0.33,2.3,0.0,0.0,0.0
10,14.2,33.075,5.9,0.34,0.12,0.33,2.3,0.0,0.0,0.0
14,14.22,33.079,5.9,0.34,0.13,0.33,2.2,0.0,0.0,0.0
20,14.2,33.073,5.9,0.35,0.11,0.32,2.2,0.0,0.1,0.0
23,14.21,33.078,5.9,0.35,0.1,0.32,2.2,0.0,0.1,0.0
