STATE,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
AK,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
AL,4,4,5,5,5,5,5,4,5,4,5,5,4,5,5
AR,5,5,5,5,5,6,5,4,4,5,5,5,5,5,5
AZ,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
CA,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
CO,5,6,6,6,6,6,5,6,6,6,6,6,6,6,6
CT,3,2,2,2,2,2,2,5,2,3,2,3,0,0,2
DE,2,5,3,3,3,0,0,0,0,2,0,2,2,2,2
FL,6,6,5,6,5,6,6,6,6,6,6,6,6,6,6
GA,6,6,3,4,3,4,6,5,4,5,6,5,3,5,4
HI,4,5,5,5,6,5,6,5,6,6,5,5,4,0,5
IA,2,3,5,4,5,4,3,3,4,3,4,4,3,5,5
ID,6,6,6,5,6,6,6,6,5,6,6,6,6,6,6
IL,2,2,4,3,3,3,3,3,5,4,5,4,2,3,4
IN,3,4,4,4,3,4,5,2,2,4,3,4,4,2,3
KS,4,6,5,5,6,6,6,6,6,5,6,6,6,5,6
KY,6,5,4,5,5,5,5,4,5,5,4,5,4,4,4
LA,6,6,5,6,6,5,3,5,6,6,6,5,6,6,5
MA,3,4,4,3,4,2,3,4,2,4,0,2,2,3,3
MD,5,4,4,5,5,5,5,4,5,5,5,4,3,4,3
ME,4,3,3,3,3,4,2,3,2,2,2,2,3,2,3
MI,3,3,4,4,5,6,6,5,4,6,4,6,2,3,4
MN,6,6,6,6,5,6,6,5,5,5,6,6,6,4,5
MO,5,5,3,5,5,5,5,4,5,5,5,5,4,5,5
MS,5,5,5,4,6,5,4,5,4,6,5,4,5,5,5
MT,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6
NC,6,5,5,5,4,4,6,6,5,4,6,6,5,5,5
ND,5,6,6,5,6,6,5,5,5,5,5,6,5,4,5
NE,5,6,4,4,5,6,6,5,4,6,6,6,6,5,6
NH,2,2,2,3,2,3,2,2,2,2,2,2,2,2,3
NJ,5,5,4,2,4,4,6,5,2,5,2,5,4,5,5
NM,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
NV,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6
NY,4,4,2,2,2,4,2,5,4,4,3,4,4,3,5
OH,4,2,5,2,4,3,2,2,5,4,2,3,3,3,3
OK,5,6,6,6,6,6,6,6,6,5,6,6,5,6,6
OR,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
PA,4,3,4,5,4,5,3,5,5,4,2,4,4,4,4
RI,0,0,0,0,2,2,2,2,2,0,2,2,2,2,2
SC,5,5,5,4,4,4,4,4,6,4,5,5,4,4,4
SD,6,6,6,5,6,6,6,5,5,5,6,6,6,5,6
TN,5,5,4,4,5,5,5,5,4,5,5,5,4,5,4
TX,6,5,6,6,6,6,6,6,6,6,6,6,5,6,6
UT,6,6,6,6,6,6,6,5,6,6,6,6,6,6,5
VA,5,5,5,4,4,5,5,5,4,4,6,6,5,5,5
VT,0,2,2,2,2,2,2,2,1,0,0,3,2,2,3
WA,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
WI,2,4,5,3,5,4,5,3,4,3,2,3,6,4,4
WV,6,4,4,4,5,5,4,4,5,5,4,5,5,5,5
WY,6,6,6,6,5,6,6,6,6,6,6,6,6,5,6
